ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,RAW_MATERIAL_COST,OPERATING_EXPENSES,PURCHASE_CATEGORY
10107,30,95.7,2,2871,24-02-2018,828,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Yu,Kwai,Small,3496.71,2377.74,Raw Materials
10121,34,81.35,5,2765.9,07-05-2018,757,Shipped,Motorcycles,95,S10_1678,Reims Collectables,Reims,France,Henriot,Paul,Small,2861.74,2286.51,Salaries
10134,41,94.74,2,3884.34,01-07-2018,703,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Medium,3647.69,1267.1,Logistics
10145,45,83.26,6,3746.7,25-08-2018,649,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,Pasadena,USA,Young,Julie,Medium,4523.03,1424.58,Raw Materials
10168,36,96.66,1,3479.76,28-10-2018,586,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,2765.85,1463.03,Raw Materials
10180,29,86.13,9,2497.77,11-11-2018,573,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,Lille,France,Rance,Martine,Small,2765.86,1274.17,Salaries
10188,48,114.84,1,5512.32,18-11-2018,567,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Medium,4579.21,1597.51,Utilities
10211,41,114.84,14,4708.44,15-01-2019,510,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,Paris,France,Perrier,Dominique,Medium,3767.43,1120.86,Marketing
10223,37,107.18,1,3965.66,20-02-2019,475,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Medium,2530.53,934.69,Salaries
10237,23,101.44,7,2333.12,05-04-2019,432,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,NYC,USA,Frick,Michael,Small,3542.56,1811.36,Logistics
10251,28,113.88,2,3188.64,18-05-2019,390,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,Newark,USA,Brown,William,Medium,2536.58,1814.76,Salaries
10263,34,108.14,2,3676.76,28-06-2019,350,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,Bridgewater,USA,King,Julie,Medium,2534.27,1097.84,Salaries
